Date,Cover,Book,Author,Leader,Notes,ISBN,Amazon Link,Image Link,Thumbnail Link
2009-05-10,,The Black Swan: The Impact of the Highly Improbable,Nassim Nicholas Taleb,Stephen Houser,Hardcoded image link.,B00BR9W8GM,http://www.amazon.com/dp/product/B00BR9W8GM,https://images-na.ssl-images-amazon.com/images/I/41US6kUoTjL.jpg,https://images-na.ssl-images-amazon.com/images/I/41US6kUoTjL.jpg
2009-06-14,,"he Professor and the Madman: A Tale of Murder, Insanity, and the Making of the Oxford English Dictionary",Simon Winchester,Stephen Houser,,0060839783,http://www.amazon.com/dp/product/0060839783,http://images.amazon.com/images/P/0060839783.jpg,http://images.amazon.com/images/P/0060839783.01.jpg
2009-07-18,,Why We Buy: The Science Of Shopping,Paco Underhill,Stephen Houser,,0684849143,http://www.amazon.com/dp/product/0684849143,http://images.amazon.com/images/P/0684849143.jpg,http://images.amazon.com/images/P/0684849143.01.jpg
2009-08-01,,This Is Your Brain on Music: The Science of a Human Obsession,Daniel J. Levitin,Rush Brown,,0452288525,http://www.amazon.com/dp/product/0452288525,http://images.amazon.com/images/P/0452288525.jpg,http://images.amazon.com/images/P/0452288525.01.jpg
2009-09-05,,Physics for Future Presidents: The Science Behind the Headlines,Richard A Muller,,,0393337111,http://www.amazon.com/dp/product/0393337111,http://images.amazon.com/images/P/0393337111.jpg,http://images.amazon.com/images/P/0393337111.01.jpg
2009-11-07,,A Passage to India ,E.M. Forster,Rush Brown,,0156711427,http://www.amazon.com/dp/product/0156711427,http://images.amazon.com/images/P/0156711427.jpg,http://images.amazon.com/images/P/0156711427.01.jpg
2009-12-05,,Dangerous Games: The Uses and Abuses of History,Margaret MacMillan,,,0812979966,http://www.amazon.com/dp/product/0812979966,http://images.amazon.com/images/P/0812979966.jpg,http://images.amazon.com/images/P/0812979966.01.jpg
2010-02-06,,The Wizard of Menlo Park: How Thomas Alva Edison Invented the Modern World,Randall E. Stross,Stephen Houser,,1400047633,http://www.amazon.com/dp/product/1400047633,http://images.amazon.com/images/P/1400047633.jpg,http://images.amazon.com/images/P/1400047633.01.jpg
2010-04-17,,When China Rules the World: The End of the Western World and the Birth of a New Global Order,Martin Jacques,Bill Phillips,,0143118005,http://www.amazon.com/dp/product/0143118005,http://images.amazon.com/images/P/0143118005.jpg,http://images.amazon.com/images/P/0143118005.01.jpg
2010-07-10,,"Linked: How Everything Is Connected to Everything Else and What It Means for Business, Science, and Everyday Life",Albert-laszlo Barabasi,Rush Brown,,0465085733,http://www.amazon.com/dp/product/0465085733,http://images.amazon.com/images/P/0465085733.jpg,http://images.amazon.com/images/P/0465085733.01.jpg
2010-08-07,,"The Genius in All of Us: New Insights into Genetics, Talent, and IQ",David Shenk,Dick Coffin,,0307387305,http://www.amazon.com/dp/product/0307387305,http://images.amazon.com/images/P/0307387305.jpg,http://images.amazon.com/images/P/0307387305.01.jpg
2010-10-16,,The Forgotten Man: A New History of the Great Depression,Amity Shlaes,Bill Phillips,,0060936428,http://www.amazon.com/dp/product/0060936428,http://images.amazon.com/images/P/0060936428.jpg,http://images.amazon.com/images/P/0060936428.01.jpg
2010-12-11,,Inventing Japan: 1853-1964,Ian Buruma,Bill Phillips,,0812972864,http://www.amazon.com/dp/product/0812972864,http://images.amazon.com/images/P/0812972864.jpg,http://images.amazon.com/images/P/0812972864.01.jpg
2011-01-15,,Thunderstruck,Erik Larson,Stephen Houser,,1400080673,http://www.amazon.com/dp/product/1400080673,http://images.amazon.com/images/P/1400080673.jpg,http://images.amazon.com/images/P/1400080673.01.jpg
2011-02-06,,Cleopatra: A Life,Stacy Schiff,,,0316001945,http://www.amazon.com/dp/product/0316001945,http://images.amazon.com/images/P/0316001945.jpg,http://images.amazon.com/images/P/0316001945.01.jpg
2011-04-02,,The Tragedy of Arthur: A Novel,Arthur Phillips,Rush Brown,,0812977920,http://www.amazon.com/dp/product/0812977920,http://images.amazon.com/images/P/0812977920.jpg,http://images.amazon.com/images/P/0812977920.01.jpg
2011-05-07,,The Art of Possibility: Transforming Professional and Personal Life,Rosamund Stone Zander,Stephen Houser,Hardcoded image link,0143001221,http://www.amazon.com/dp/product/0143001221,https://images-na.ssl-images-amazon.com/images/I/415rroHwgxL.jpg,https://images-na.ssl-images-amazon.com/images/I/415rroHwgxL.jpg
